Population,Replicate,Treatment,Species,Group,Tray,Position,Elevation,Latitude,Longitude,germ_date,transplant date,first_flower,flowering_time,hgt_first_flower,flowers_10days,time pollen collection,# flowers for pollen,successful_self,total_self,viable_pollen,total_pollen,Notes
OBJ,6,H,minor,tilingii,14,4,2739,38.912505,-107.032161,14-Jun,16-Jun,12-Jul,28,69.2,28,,2,1,5,72,100,
OBJ,7,H,minor,tilingii,13,13,2739,38.912505,-107.032161,14-Jun,16-Jun,14-Jul,30,109.8,17,,2,2,5,68,100,
OBJ,8,H,minor,tilingii,16,12,2739,38.912505,-107.032161,14-Jun,16-Jun,13-Jul,29,81.1,12,,2,0,5,48,100,
OBJ,9,H,minor,tilingii,11,3,2739,38.912505,-107.032161,14-Jun,16-Jun,21-Jul,37,86.7,10,,2,3,5,84,100,
SMO,1,C,guttatus,low,4,9,484,38.32332,-122.5905,13-Jun,15-Jun,13-Jul,29,167.9,22,,2,5,5,51,100,
SMO,2,C,guttatus,low,1,14,484,38.32332,-122.5905,13-Jun,15-Jun,12-Jul,29,136.9,32,,2,4,5,53,100,
SMO,3,C,guttatus,low,2,15,484,38.32332,-122.5905,13-Jun,15-Jun,13-Jul,30,126.5,27,,2,5,5,7,41,
SMO,4,C,guttatus,low,6,4,484,38.32332,-122.5905,13-Jun,15-Jun,15-Jul,32,233,31,,2,3,5,27,73,
SMO,5,C,guttatus,low,6,10,484,38.32332,-122.5905,13-Jun,15-Jun,,,221.1,23,,2,5,5,26,81,
SMO,6,C,guttatus,low,3,5,484,38.32332,-122.5905,13-Jun,15-Jun,17-Jul,34,157.9,24,,2,4,5,6,100,
SMO,7,C,guttatus,low,1,4,484,38.32332,-122.5905,13-Jun,15-Jun,22-Jul,39,279.2,31,,2,5,5,38,100,
SMO,8,C,guttatus,low,8,13,484,38.32332,-122.5905,13-Jun,15-Jun,17-Jul,34,185.3,25,,2,3,5,6,52,
SMO,9,C,guttatus,low,6,13,484,38.32332,-122.5905,13-Jun,15-Jun,13-Jul,30,197,27,,2,5,5,52,100,
SMO,1,H,guttatus,low,10,17,484,38.32332,-122.5905,13-Jun,15-Jun,15-Jul,32,150.2,25,,2,1,5,0,5,
SMO,2,H,guttatus,low,13,14,484,38.32332,-122.5905,13-Jun,15-Jun,16-Jul,33,250.4,26,,2,2,5,2,100,
SMO,3,H,guttatus,low,11,17,484,38.32332,-122.5905,13-Jun,15-Jun,13-Jul,30,125,34,,2,1,5,20,100,
SMO,4,H,guttatus,low,12,9,484,38.32332,-122.5905,13-Jun,15-Jun,15-Jul,32,208.5,36,,2,1,5,2,100,
SMO,5,H,guttatus,low,9,17,484,38.32332,-122.5905,13-Jun,15-Jun,13-Jul,30,114.3,30,,2,1,5,2,29,
SMO,6,H,guttatus,low,11,1,484,38.32332,-122.5905,13-Jun,15-Jun,11-Jul,28,123.2,41,,2,2,5,0,100,
SMO,7,H,guttatus,low,14,10,484,38.32332,-122.5905,13-Jun,15-Jun,14-Jul,31,186,44,,2,0,5,18,100,
SMO,8,H,guttatus,low,13,10,484,38.32332,-122.5905,13-Jun,15-Jun,14-Jul,31,188.8,34,,2,1,5,7,100,
SMO,9,H,guttatus,low,11,5,484,38.32332,-122.5905,13-Jun,15-Jun,13-Jul,30,187,50,,2,0,5,5,100,
SON,1,C,tilingii,tilingii,4,8,2944,38.328125,-119.637201,14-Jun,16-Jun,19-Jul,35,42.3,18,,2,4,5,60,100,
SON,2,C,tilingii,tilingii,4,4,2944,38.328125,-119.637201,14-Jun,16-Jun,24-Jul,40,77.5,29,,2,5,5,85,100,
SON,3,C,tilingii,tilingii,5,12,2944,38.328125,-119.637201,14-Jun,16-Jun,18-Jul,34,39.6,11,,2,3,5,88,100,
SON,4,C,tilingii,tilingii,5,11,2944,38.328125,-119.637201,14-Jun,16-Jun,3-Aug,50,132.7,5,,2,3,5,83,100,
SON,5,C,tilingii,tilingii,5,15,2944,38.328125,-119.637201,14-Jun,16-Jun,15-Jul,31,38.2,13,,2,4,5,97,100,
SON,6,C,tilingii,tilingii,3,9,2944,38.328125,-119.637201,14-Jun,16-Jun,24-Jul,40,107.4,3,,,,,,,
SON,7,C,tilingii,tilingii,4,14,2944,38.328125,-119.637201,14-Jun,16-Jun,25-Jul,41,54.7,8,,2,4,5,83,100,
SON,8,C,tilingii,tilingii,7,9,2944,38.328125,-119.637201,14-Jun,16-Jun,24-Jul,40,69.5,7,,2,5,5,87,100,
SON,9,C,tilingii,tilingii,4,2,2944,38.328125,-119.637201,14-Jun,16-Jun,19-Jul,35,31.4,9,,2,5,5,90,100,
SON,1,H,tilingii,tilingii,9,9,2944,38.328125,-119.637201,14-Jun,3-Jul,24-Aug,71,177.9,,,2,4,5,84,100,
SON,2,H,tilingii,tilingii,9,2,2944,38.328125,-119.637201,14-Jun,16-Jun,13-Aug,60,117.5,13,,2,4,5,60,100,
SON,3,H,tilingii,tilingii,15,16,2944,38.328125,-119.637201,14-Jun,16-Jun,,,,,,,,,,,
SON,4,H,tilingii,tilingii,14,7,2944,38.328125,-119.637201,14-Jun,16-Jun,18-Jul,34,56.2,6,,2,0,5,75,100,
SON,5,H,tilingii,tilingii,10,4,2944,38.328125,-119.637201,14-Jun,16-Jun,18-Aug,65,115.6,12,,,,,,,
SON,6,H,tilingii,tilingii,11,16,2944,38.328125,-119.637201,14-Jun,16-Jun,28-Jul,44,59.7,1,,,,,,,
SON,7,H,tilingii,tilingii,9,5,2944,38.328125,-119.637201,14-Jun,16-Jun,25-Jul,41,46.7,4,,2,4,5,42,95,
SON,8,H,tilingii,tilingii,12,16,2944,38.328125,-119.637201,14-Jun,16-Jun,17-Jul,33,51.2,6,,2,0,5,8,26,
SON,9,H,tilingii,tilingii,15,10,2944,38.328125,-119.637201,14-Jun,16-Jun,25-Jul,41,105.2,1,,,,,,,
WGL,1,C,guttatus,high,4,5,3161,38.966452,-107.041388,,3-Jul,9-Aug,,131.1,3,,,,,,,
WGL,2,C,guttatus,high,2,12,3161,38.966452,-107.041388,13-Jun,16-Jun,23-Jul,40,223.2,12,,2,5,5,95,100,
WGL,3,C,guttatus,high,7,17,3161,38.966452,-107.041388,13-Jun,3-Jul,16-Jul,33,167.2,5,,2,4,5,87,100,
WGL,4,C,guttatus,high,3,17,3161,38.966452,-107.041388,13-Jun,16-Jun,19-Jul,36,161.9,30,,2,4,5,86,100,
WGL,5,C,guttatus,high,7,7,3161,38.966452,-107.041388,,3-Jul,25-Jul,,93.4,6,,2,5,5,89,100,
WGL,6,C,guttatus,high,8,7,3161,38.966452,-107.041388,13-Jun,16-Jun,13-Jul,30,168.9,27,,2,5,5,94,100,
WGL,7,C,guttatus,high,5,5,3161,38.966452,-107.041388,13-Jun,16-Jun,15-Jul,32,136.5,19,,2,5,5,98,100,
WGL,8,C,guttatus,high,7,4,3161,38.966452,-107.041388,13-Jun,16-Jun,18-Jul,35,111.1,9,,2,5,5,91,100,
WGL,9,C,guttatus,high,5,14,3161,38.966452,-107.041388,14-Jun,16-Jun,15-Jul,31,128.5,18,,2,5,5,59,100,
WGL,1,H,guttatus,high,9,13,3161,38.966452,-107.041388,18-Jun,16-Jun,14-Jul,26,101.1,19,,2,3,5,36,100,
WGL,2,H,guttatus,high,15,13,3161,38.966452,-107.041388,,3-Jul,,,,,,,,,,,
WGL,3,H,guttatus,high,16,14,3161,38.966452,-107.041388,14-Jun,16-Jun,13-Jul,29,85.4,10,,2,3,5,76,100,
WGL,4,H,guttatus,high,9,15,3161,38.966452,-107.041388,,3-Jul,30-Jul,,147.2,4,,,2,4,,,
WGL,5,H,guttatus,high,14,1,3161,38.966452,-107.041388,14-Jun,16-Jun,23-Jul,39,165.4,13,,2,0,5,4,100,
WGL,6,H,guttatus,high,12,8,3161,38.966452,-107.041388,14-Jun,16-Jun,21-Jul,37,153.2,18,,2,1,5,25,100,
WGL,7,H,guttatus,high,16,15,3161,38.966452,-107.041388,14-Jun,16-Jun,23-Jul,39,143.2,8,,2,1,5,80,100,
WGL,8,H,guttatus,high,16,8,3161,38.966452,-107.041388,14-Jun,16-Jun,23-Jul,39,151.7,8,,2,1,5,19,100,
WGL,9,H,guttatus,high,9,7,3161,38.966452,-107.041388,14-Jun,16-Jun,14-Jul,30,93.4,9,,2,0,5,46,100,
YUL,1,C,guttatus,high,7,14,3574,39.00027,-107.10037,13-Jun,16-Jun,28-Jul,45,396.2,18,,2,5,5,36,100,
YUL,2,C,guttatus,high,8,9,3574,39.00027,-107.10037,13-Jun,16-Jun,31-Jul,48,414.3,14,,2,5,5,72,100,
YUL,3,C,guttatus,high,6,3,3574,39.00027,-107.10037,13-Jun,16-Jun,1-Aug,49,382,20,,2,5,5,64,100,
YUL,4,C,guttatus,high,3,14,3574,39.00027,-107.10037,13-Jun,16-Jun,5-Aug,53,353.1,9,,2,5,5,43,100,
YUL,5,C,guttatus,high,4,12,3574,39.00027,-107.10037,13-Jun,16-Jun,25-Jul,42,305.6,21,,2,5,5,56,100,
YUL,6,C,guttatus,high,6,11,3574,39.00027,-107.10037,13-Jun,16-Jun,26-Jul,43,339.2,13,,2,5,5,68,100,
YUL,7,C,guttatus,high,6,17,3574,39.00027,-107.10037,13-Jun,16-Jun,3-Aug,51,420.1,12,,2,5,5,42,100,
YUL,8,C,guttatus,high,3,3,3574,39.00027,-107.10037,13-Jun,16-Jun,27-Jul,44,351.3,41,,2,5,5,65,100,
YUL,9,C,guttatus,high,7,8,3574,39.00027,-107.10037,13-Jun,16-Jun,28-Jul,45,375.2,13,,2,5,5,70,100,
YUL,1,H,guttatus,high,11,4,3574,39.00027,-107.10037,13-Jun,16-Jun,31-Jul,48,314.9,26,,2,4,5,19,100,
YUL,2,H,guttatus,high,11,6,3574,39.00027,-107.10037,13-Jun,16-Jun,28-Jul,45,274.9,44,,2,5,5,40,100,
YUL,3,H,guttatus,high,10,7,3574,39.00027,-107.10037,13-Jun,16-Jun,25-Jul,42,287.2,45,,2,5,5,14,100,
YUL,4,H,guttatus,high,9,16,3574,39.00027,-107.10037,13-Jun,16-Jun,25-Jul,42,259.3,28,,2,5,5,15,100,
YUL,5,H,guttatus,high,12,10,3574,39.00027,-107.10037,13-Jun,16-Jun,27-Jul,44,380.9,52,,2,5,5,36,100,
YUL,6,H,guttatus,high,16,6,3574,39.00027,-107.10037,13-Jun,16-Jun,29-Jul,46,366,26,,2,4,5,20,100,
YUL,7,H,guttatus,high,15,12,3574,39.00027,-107.10037,13-Jun,16-Jun,27-Jul,44,372.2,57,,2,5,5,1,100,
YUL,8,H,guttatus,high,12,14,3574,39.00027,-107.10037,13-Jun,16-Jun,28-Jul,45,321.3,65,,2,4,5,41,100,
YUL,9,H,guttatus,high,12,7,3574,39.00027,-107.10037,13-Jun,16-Jun,2-Aug,50,361.3,27,,2,5,5,31,100,
