Label	Pop	Family	Treatment	Block	Number	Latitude	Longitude	Elevation	Elevation_Cat	Low_Side	Treat_Block_Number	Flowered	Viable.Pollen	Inviable.Pollen	Total.Pollen	Prop.Viable
NLC_C_5_42	NLC	NLC_1	C	5	42	37.22731	-118.6276	3282	High	NA	C_5_42	1	1048	135	1183	0.885883347
LPM_C_5_43	LPM	LPM_1	C	5	43	37.63207	-118.99653	2594	High	NA	C_5_43	1	177	80	257	0.688715953
HME_C_5_44	HME	HME_1_G1	C	5	44	36.460418	-118.161644	3048	High	NA	C_5_44	1	138	32	170	0.811764706
DWF_C_5_45	DWF	DWF_6	C	5	45	36.320614	-117.521642	24	Low	E	C_5_45	1	467	309	776	0.601804124
WFC_C_6_46	WFC	WFC_5	C	6	46	37.33766	-119.26629	1551.7368	Low	W	C_6_46	1	699	31	730	0.957534247
JMS_C_6_47	JMS	JMS_2	C	6	47	37.7653915	-119.0947999	2651	High	NA	C_6_47	1	755	36	791	0.95448799
HME_C_6_48	HME	HME_1_G1	C	6	48	36.460418	-118.161644	3048	High	NA	C_6_48	1	13	0	13	1
DLW_C_6_49	DLW	DLW_55	C	6	49	37.06770746	-118.2638616	1249	Low	E	C_6_49	1	880	18	898	0.979955457
JMS_C_6_50	JMS	JMS_2	C	6	50	37.7653915	-119.0947999	2651	High	NA	C_6_50	1	188	5	193	0.974093264
NLC_C_6_51	NLC	NLC_1	C	6	51	37.22731	-118.6276	3282	High	NA	C_6_51	1	699	103	802	0.871571072
DLW_C_6_52	DLW	DLW_55	C	6	52	37.06770746	-118.2638616	1249	Low	E	C_6_52	1	959	5	964	0.994813278
LPM_C_6_53	LPM	LPM_1	C	6	53	37.63207	-118.99653	2594	High	NA	C_6_53	1	257	22	279	0.921146953
DWF_C_6_54	DWF	DWF_6	C	6	54	36.320614	-117.521642	24	Low	E	C_6_54	1	291	117	408	0.713235294
DWF_C_7_55	DWF	DWF_6	C	7	55	36.320614	-117.521642	24	Low	E	C_7_55	1	1024	229	1253	0.817238627
DLW_C_7_56	DLW	DLW_55	C	7	56	37.06770746	-118.2638616	1249	Low	E	C_7_56	1	347	19	366	0.948087432
WFC_C_7_58	WFC	WFC_5	C	7	58	37.33766	-119.26629	1551.7368	Low	W	C_7_58	1	345	11	356	0.969101124
WFC_C_7_59	WFC	WFC_5	C	7	59	37.33766	-119.26629	1551.7368	Low	W	C_7_59	1	146	10	156	0.935897436
LPM_C_7_60	LPM	LPM_1	C	7	60	37.63207	-118.99653	2594	High	NA	C_7_60	1	1186	10	1196	0.991638796
WFC_C_7_61	WFC	WFC_5	C	7	61	37.33766	-119.26629	1551.7368	Low	W	C_7_61	1	117	13	130	0.9
SAW_C_7_62	SAW	SAW_26	C	7	62	37.2033	-119.4137	1207.62	Low	W	C_7_62	1	507	41	548	0.925182482
NLC_C_7_63	NLC	NLC_1	C	7	63	37.22731	-118.6276	3282	High	NA	C_7_63	1	1733	33	1766	0.981313703
LPM_C_8_64	LPM	LPM_1	C	8	64	37.63207	-118.99653	2594	High	NA	C_8_64	1	267	2	269	0.992565056
DWF_C_8_65	DWF	DWF_6	C	8	65	36.320614	-117.521642	24	Low	E	C_8_65	1	1108	120	1228	0.90228013
DLW_C_8_66	DLW	DLW_55	C	8	66	37.06770746	-118.2638616	1249	Low	E	C_8_66	1	935	34	969	0.964912281
WFC_C_8_67	WFC	WFC_5	C	8	67	37.33766	-119.26629	1551.7368	Low	W	C_8_67	1	475	5	480	0.989583333
DWF_C_8_68	DWF	DWF_6	C	8	68	36.320614	-117.521642	24	Low	E	C_8_68	1	230	12	242	0.950413223
NLC_C_8_69	NLC	NLC_1	C	8	69	37.22731	-118.6276	3282	High	NA	C_8_69	1	946	16	962	0.983367983
WFC_C_8_70	WFC	WFC_5	C	8	70	37.33766	-119.26629	1551.7368	Low	W	C_8_70	1	367	10	377	0.973474801
JMS_C_8_71	JMS	JMS_2	C	8	71	37.7653915	-119.0947999	2651	High	NA	C_8_71	1	624	24	648	0.962962963
ART_C_9_73	ART	ART_1	C	9	73	37.35488	-118.3326	1594	Low	E	C_9_73	1	220	15	235	0.936170213
SAW_C_9_74	SAW	SAW_26	C	9	74	37.2033	-119.4137	1207.62	Low	W	C_9_74	1	353	41	394	0.895939086
SAW_C_9_75	SAW	SAW_26	C	9	75	37.2033	-119.4137	1207.62	Low	W	C_9_75	1	331	35	366	0.904371585
SAW_C_9_76	SAW	SAW_26	C	9	76	37.2033	-119.4137	1207.62	Low	W	C_9_76	1	544	34	578	0.941176471
DWF_C_9_77	DWF	DWF_6	C	9	77	36.320614	-117.521642	24	Low	E	C_9_77	1	1038	19	1057	0.982024598
LPM_C_9_78	LPM	LPM_1	C	9	78	37.63207	-118.99653	2594	High	NA	C_9_78	1	104	7	111	0.936936937
ART_C_9_79	ART	ART_1	C	9	79	37.35488	-118.3326	1594	Low	E	C_9_79	1	517	93	610	0.847540984
LPM_C_9_80	LPM	LPM_1	C	9	80	37.63207	-118.99653	2594	High	NA	C_9_80	1	477	18	495	0.963636364
JMS_C_9_81	JMS	JMS_2	C	9	81	37.7653915	-119.0947999	2651	High	NA	C_9_81	1	286	7	293	0.976109215
ART_C_10_82	ART	ART_1	C	10	82	37.35488	-118.3326	1594	Low	E	C_10_82	1	425	63	488	0.870901639
JMS_C_10_83	JMS	JMS_2	C	10	83	37.7653915	-119.0947999	2651	High	NA	C_10_83	1	335	12	347	0.965417867
HME_C_10_84	HME	HME_1_G1	C	10	84	36.460418	-118.161644	3048	High	NA	C_10_84	1	209	14	223	0.937219731
LPM_C_10_85	LPM	LPM_1	C	10	85	37.63207	-118.99653	2594	High	NA	C_10_85	1	277	5	282	0.982269504
DLW_C_10_86	DLW	DLW_55	C	10	86	37.06770746	-118.2638616	1249	Low	E	C_10_86	1	599	50	649	0.922958398
ART_C_10_87	ART	ART_1	C	10	87	37.35488	-118.3326	1594	Low	E	C_10_87	1	136	35	171	0.795321637
DWF_C_10_88	DWF	DWF_6	C	10	88	36.320614	-117.521642	24	Low	E	C_10_88	1	446	3	449	0.993318486
WFC_C_10_89	WFC	WFC_5	C	10	89	37.33766	-119.26629	1551.7368	Low	W	C_10_89	0	NA	NA	NA	NA
HME_C_10_90	HME	HME_1_G1	C	10	90	36.460418	-118.161644	3048	High	NA	C_10_90	1	746	63	809	0.922126082
DWF_H_1_1	DWF	DWF_6	H	1	1	36.320614	-117.521642	24	Low	E	H_1_1	1	391	29	420	0.930952381
LPM_H_1_3	LPM	LPM_1	H	1	3	37.63207	-118.99653	2594	High	NA	H_1_3	1	146	7	153	0.954248366
LPM_H_1_4	LPM	LPM_1	H	1	4	37.63207	-118.99653	2594	High	NA	H_1_4	1	292	63	355	0.822535211
WFC_H_1_5	WFC	WFC_5	H	1	5	37.33766	-119.26629	1551.7368	Low	W	H_1_5	0	NA	NA	NA	NA
LPM_H_1_6	LPM	LPM_1	H	1	6	37.63207	-118.99653	2594	High	NA	H_1_6	1	134	11	145	0.924137931
NLC_H_1_7	NLC	NLC_1	H	1	7	37.22731	-118.6276	3282	High	NA	H_1_7	1	185	52	237	0.780590717
ART_H_1_8	ART	ART_1	H	1	8	37.35488	-118.3326	1594	Low	E	H_1_8	1	101	15	116	0.870689655
DLW_H_1_9	DLW	DLW_55	H	1	9	37.06770746	-118.2638616	1249	Low	E	H_1_9	1	202	54	256	0.7890625
DWF_H_2_11	DWF	DWF_6	H	2	11	36.320614	-117.521642	24	Low	E	H_2_11	1	209	52	261	0.800766284
DWF_H_2_12	DWF	DWF_6	H	2	12	36.320614	-117.521642	24	Low	E	H_2_12	1	151	187	338	0.446745562
DWF_H_2_13	DWF	DWF_6	H	2	13	36.320614	-117.521642	24	Low	E	H_2_13	1	78	25	103	0.757281553
NLC_H_2_14	NLC	NLC_1	H	2	14	37.22731	-118.6276	3282	High	NA	H_2_14	1	160	173	333	0.48048048
DLW_H_2_15	DLW	DLW_55	H	2	15	37.06770746	-118.2638616	1249	Low	E	H_2_15	0	NA	NA	NA	NA
JMS_H_2_16	JMS	JMS_2	H	2	16	37.7653915	-119.0947999	2651	High	NA	H_2_16	1	20	84	104	0.192307692
DWF_H_2_17	DWF	DWF_6	H	2	17	36.320614	-117.521642	24	Low	E	H_2_17	0	NA	NA	NA	NA
ART_H_2_18	ART	ART_1	H	2	18	37.35488	-118.3326	1594	Low	E	H_2_18	1	30	17	47	0.638297872
JMS_H_3_19	JMS	JMS_2	H	3	19	37.7653915	-119.0947999	2651	High	NA	H_3_19	1	26	87	113	0.230088496
WFC_H_3_20	WFC	WFC_5	H	3	20	37.33766	-119.26629	1551.7368	Low	W	H_3_20	1	37	30	67	0.552238806
LPM_H_3_21	LPM	LPM_1	H	3	21	37.63207	-118.99653	2594	High	NA	H_3_21	1	130	44	174	0.747126437
SAW_H_3_23	SAW	SAW_26	H	3	23	37.2033	-119.4137	1207.62	Low	W	H_3_23	1	19	25	44	0.431818182
JMS_H_3_24	JMS	JMS_2	H	3	24	37.7653915	-119.0947999	2651	High	NA	H_3_24	1	197	57	254	0.775590551
HME_H_3_25	HME	HME_1_G1	H	3	25	36.460418	-118.161644	3048	High	NA	H_3_25	1	67	26	93	0.720430108
SAW_H_3_26	SAW	SAW_26	H	3	26	37.2033	-119.4137	1207.62	Low	W	H_3_26	1	1	263	264	0.003787879
HME_H_3_27	HME	HME_1_G1	H	3	27	36.460418	-118.161644	3048	High	NA	H_3_27	0	NA	NA	NA	NA
LPM_H_4_28	LPM	LPM_1	H	4	28	37.63207	-118.99653	2594	High	NA	H_4_28	0	NA	NA	NA	NA
HME_H_4_29	HME	HME_1_G1	H	4	29	36.460418	-118.161644	3048	High	NA	H_4_29	0	NA	NA	NA	NA
DLW_H_4_30	DLW	DLW_55	H	4	30	37.06770746	-118.2638616	1249	Low	E	H_4_30	1	519	110	629	0.825119237
WFC_H_4_31	WFC	WFC_5	H	4	31	37.33766	-119.26629	1551.7368	Low	W	H_4_31	1	275	12	287	0.958188153
SAW_H_4_32	SAW	SAW_26	H	4	32	37.2033	-119.4137	1207.62	Low	W	H_4_32	1	9	18	27	0.333333333
